#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:0
#MNC:0
#Notes:volanie 10 metrov
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T14:10:22.768+01:00,17.071178,48.154038,,,,,,,,,32000,,,,5,25,,,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,,1,,,,5,,0.0,0,0.0,,-113.9,-114.1,-117.7,,,-11.0,,,,,,,,,2.1,2.1,-5.8,-11.4,2.1
2026-03-20T14:10:23.821+01:00,17.071178,48.154038,,,,,,,,,32000,6259358,,5,5,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,0,0,,0.0,0,0.0,,-114.0,-114.0,-117.2,,,-11.1,,,,,-82.6,-82.4,-84.9,-83.3,3.1,0.5,-3.4,-7.8,3.1
2026-03-20T14:10:24.851+01:00,17.071178,48.154038,,,,,,,,,57872,16910,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=6,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=6,1024-QAM=0",,,,,10,10,,,4,4,,0.0,5,0.0,,-114.0,-113.8,-116.5,,,-11.0,,,,,-83.8,-82.6,-83.8,-83.5,3.2,2.4,-6.4,-9.6,3.2
2026-03-20T14:10:25.851+01:00,17.071178,48.154038,,,,,,,,,32000,0,,7,7,23,23,"PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-114.5,-114.5,-116.6,,,-11.0,,,,,-81.8,-79.4,-79.5,-80.4,3.6,3.1,-2.6,-5.9,3.6
2026-03-20T14:10:26.851+01:00,17.071178,48.154038,,,,,,,,,32000,8145,,5,5,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=2,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=2,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-114.6,-114.7,-116.7,,,-11.1,,,,,-83.8,-82.9,-83.9,-81.6,4.1,1.9,-1.9,-6.9,4.1
2026-03-20T14:10:27.851+01:00,17.071178,48.154038,,,,,,,,,32000,8871,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=4,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=4,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-114.2,-114.4,-116.6,,,-11.0,,,,,-79.6,-79.6,-84.5,-78.5,-4.1,-5.6,-9.0,-6.5,-4.1
2026-03-20T14:10:28.851+01:00,17.071178,48.154038,,,,,,,,,32000,16564,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-113.1,-113.1,-121.4,,,-10.9,,,,,-84.1,-83.0,-85.3,-82.9,5.4,3.1,-2.8,-5.6,5.4
2026-03-20T14:10:29.851+01:00,17.071178,48.154038,,,,,,,,,32000,18321,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.256+01:00,17.071178,48.154038,,,,,,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.258+01:00,17.071178,48.154038,,,,,,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.260+01:00,17.071178,48.154038,,,,,,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.271+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.272+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.275+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,,,1,1,,,5,5,,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.285+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,18392,,7,7,22,22,"PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=1,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,,23.5,,1,1,,12,5,5,51,0.0,0,0.0,,-111.3,-111.3,-120.8,,,-10.8,,,,,-81.1,-82.8,-80.5,-83.0,2.9,2.9,-10.0,-5.8,-0.4
2026-03-20T14:10:30.851+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,6,13.7,11.8,31,31,51,7,5,5,51,0.0,0,0.0,,-113.1,-113.1,-122.6,,,-11.0,,,,,-80.6,-77.8,-81.8,-83.6,2.8,2.0,-5.9,-3.3,2.8
2026-03-20T14:10:30.893+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,6,13.7,11.8,31,31,51,7,5,5,51,0.0,0,0.0,,-113.1,-113.1,-122.6,,,-11.0,,,,,-80.6,-77.8,-81.8,-83.6,2.8,2.0,-5.9,-3.3,2.8
2026-03-20T14:10:30.896+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,6,13.7,11.8,31,31,51,7,5,5,51,0.0,0,0.0,,-113.1,-113.1,-122.6,,,-11.0,,,,,-80.6,-77.8,-81.8,-83.6,2.8,2.0,-5.9,-3.3,2.8
2026-03-20T14:10:30.897+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,6,13.7,11.8,31,31,51,7,5,5,51,0.0,0,0.0,,-113.1,-113.1,-122.6,,,-11.0,,,,,-80.6,-77.8,-81.8,-83.6,2.8,2.0,-5.9,-3.3,2.8
2026-03-20T14:10:30.901+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,32000,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,6,13.7,11.8,31,31,51,7,5,5,51,0.0,0,0.0,,-113.1,-113.1,-122.6,,,-11.0,,,,,-80.6,-77.8,-81.8,-83.6,2.8,2.0,-5.9,-3.3,2.8
2026-03-20T14:10:31.002+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,38688,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,51,9.8,100.0,31,31,51,5,5,5,51,0.0,8,0.0,,-113.3,-113.2,-121.6,,,-10.9,,,,,-82.8,-82.9,-83.6,-85.5,2.6,2.6,-7.6,-3.9,2.3
2026-03-20T14:10:31.006+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,38688,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,51,9.8,100.0,31,31,51,5,16,16,51,0.0,8,0.0,,-113.3,-113.2,-121.6,,,-10.9,,,,,-82.8,-82.9,-83.6,-85.5,2.6,2.6,-7.6,-3.9,2.3
2026-03-20T14:10:31.132+01:00,17.071178,48.154038,,,Band n78,20.0,20.0,,,,38688,186907,,7,7,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=5,64-QAM=0,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=3,64-QAM=4,256-QAM=8,1024-QAM=0",,51,11.8,100.0,31,31,51,6,16,16,51,0.0,8,0.0,,-113.3,-113.2,-121.6,,,-10.9,,,,,-82.8,-82.9,-83.6,-85.5,2.6,2.6,-7.6,-3.9,2.3
